first,last,team,studentidnumber,NetID,GitHub,email,section
Phoenix,Sandoval,11,832123456,c832123456,eastofeaston,Phoenix.Sandoval@example.edu,001
Isabelle,Rowland,11,832123457,izarow,eastofeaston,Isabelle.Rowland@example.edu,801
Rajan,Sosa,12,832123429,c832123429,eastofeaston,Rajan.Sosa@example.edu,001
Eshal,Hanna,12,832123453,c832123453,eastofeaston,Eshal.Hanna@example.edu,801
Amelia,Diaz,13,832123451,adiaz,eastofeaston,Amelia.Diaz@example.edu,001
Mahnoor,Hicks,13,832123454,hicksml,eastofeaston,Mahnoor.Hicks@example.edu,801
Frank,Abagnale,14,832123902,c832123902,,Frank.Abagnale@example.edu,001
Vera,Walter,14,832123222,c832123222,eastofeaston,Vera.Walter@example.edu,801
Monty,Hodges,15,832123134,c832123134,eastofeaston,Monty.Hodges@example.edu,001
Mari,Glass,15,832123334,c832123334,eastofeaston,Mari.Glass@example.edu,801
